id,user_type_id:id,code,name,reconcile,chart_template_id:id
__export__.account_account_4429,account.data_account_type_fixed_assets,L20193,Kanceliarinės prekės,0,l10n_lt_account_chart_template
__export__.account_account_4430,account.data_account_type_receivable,L2021,Išankstiniai apmokėjimai tiekėjams LT,1,l10n_lt_account_chart_template
__export__.account_account_4431,account.data_account_type_receivable,L2022,Išankstiniai apmokėjimai tiekėjams VALIUTA,1,l10n_lt_account_chart_template
__export__.account_account_4432,account.data_account_type_current_assets,L2024,Būsimųjų laikotarpių sąnaudos,0,l10n_lt_account_chart_template
__export__.account_account_4433,account.data_account_type_current_assets,L202501,Iš anksto sumokėtas PVM,0,l10n_lt_account_chart_template
__export__.account_account_4434,account.data_account_type_current_assets,L202599,Iš anksto sumokėti kiti mokesčiai,0,l10n_lt_account_chart_template
__export__.account_account_4435,account.data_account_type_current_assets,L2027,DU būsimųjų laikotarpių sąnaudos,0,l10n_lt_account_chart_template
__export__.account_account_4436,account.data_account_type_expenses,L2029,Abejotinos skolos(-),0,l10n_lt_account_chart_template
__export__.account_account_4437,account.data_account_type_current_assets,L2031,Savikaina,0,l10n_lt_account_chart_template
__export__.account_account_4438,account.data_account_type_current_assets,L2032,Pripažintas pelnas,0,l10n_lt_account_chart_template
__export__.account_account_4439,account.data_account_type_expenses,L2033,Vertės sumažėjimas(-),0,l10n_lt_account_chart_template
__export__.account_account_4440,account.data_account_type_receivable,L24101,Pirkėjų skolos,1,l10n_lt_account_chart_template
__export__.account_account_4441,account.data_account_type_receivable,L24102,Pirkėjai VALIUTA,1,l10n_lt_account_chart_template
__export__.account_account_4442,account.data_account_type_expenses,L24190,Abejotinos skolos LT (-),0,l10n_lt_account_chart_template
__export__.account_account_4443,account.data_account_type_expenses,L24191,Abejotinos skolos VALIUTA (-),0,l10n_lt_account_chart_template
__export__.account_account_4444,account.data_account_type_receivable,L2421,Dukterinių įmonių skolos,1,l10n_lt_account_chart_template
__export__.account_account_4445,account.data_account_type_receivable,L2422,Asocijuotų įmonių skolos,1,l10n_lt_account_chart_template
__export__.account_account_4446,account.data_account_type_expenses,L2429,Abejotinos skolos(-),0,l10n_lt_account_chart_template
__export__.account_account_4447,account.data_account_type_receivable,L2431,Gautinas PVM,1,l10n_lt_account_chart_template
__export__.account_account_4448,account.data_account_type_receivable,L2432,Biudžeto skola įmonei,1,l10n_lt_account_chart_template
__export__.account_account_4449,account.data_account_type_receivable,L2433,Sodros skola įmonei,1,l10n_lt_account_chart_template
__export__.account_account_4450,account.data_account_type_receivable,L2434,Kitos gautinos skolos,1,l10n_lt_account_chart_template
__export__.account_account_4451,account.data_account_type_receivable,L2435,Atskaitingi asmenys,1,l10n_lt_account_chart_template
__export__.account_account_4452,account.data_account_type_receivable,L2436,Sukauptos gautinos pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4453,account.data_account_type_expenses,L2439,Abejotinos skolos(-),0,l10n_lt_account_chart_template
__export__.account_account_4454,account.data_account_type_current_assets,L2611,Kitų įmonių akcijos,0,l10n_lt_account_chart_template
__export__.account_account_4455,account.data_account_type_current_assets,L2612,Obligacijos,0,l10n_lt_account_chart_template
__export__.account_account_4456,account.data_account_type_current_assets,L2613,Kiti vertybiniai popieriai,0,l10n_lt_account_chart_template
__export__.account_account_4457,account.data_account_type_expenses,L2619,Vertės sumažėjimas(-),0,l10n_lt_account_chart_template
__export__.account_account_4458,account.data_account_type_current_assets,L262,Terminuoti indėliai,0,l10n_lt_account_chart_template
__export__.account_account_4459,account.data_account_type_current_assets,L2631,Kitas trumpalaikis turtas,0,l10n_lt_account_chart_template
__export__.account_account_4460,account.data_account_type_current_assets,L2632,Iš anksto sumokėtas pelno mokestis,0,l10n_lt_account_chart_template
__export__.account_account_4461,account.data_account_type_revenue,L270,Pinigų ekvivalentai,0,l10n_lt_account_chart_template
__export__.account_account_4462,account.data_account_type_revenue,L27100,SWEDBANK LTL,0,l10n_lt_account_chart_template
__export__.account_account_4463,account.data_account_type_revenue,L27101,SWEDBANK EUR,0,l10n_lt_account_chart_template
__export__.account_account_4464,account.data_account_type_revenue,L27103,SWEDBANK USD,0,l10n_lt_account_chart_template
__export__.account_account_4465,account.data_account_type_revenue,L27110,Paypal LTL,0,l10n_lt_account_chart_template
__export__.account_account_4466,account.data_account_type_revenue,L27111,Paypal EUR,0,l10n_lt_account_chart_template
__export__.account_account_4467,account.data_account_type_revenue,L27113,Paypal USD,0,l10n_lt_account_chart_template
__export__.account_account_4468,account.data_account_type_revenue,L27120,ELANCE.COM LTL,0,l10n_lt_account_chart_template
__export__.account_account_4469,account.data_account_type_revenue,L27121,ELANCE.COM EUR,0,l10n_lt_account_chart_template
__export__.account_account_4470,account.data_account_type_revenue,L27123,ELANCE.COM USD,0,l10n_lt_account_chart_template
__export__.account_account_4471,account.data_account_type_revenue,L27130,Šiaulių bankas LTL,0,l10n_lt_account_chart_template
__export__.account_account_4472,account.data_account_type_revenue,L27140,Mokėjimai.lt USD,0,l10n_lt_account_chart_template
__export__.account_account_4473,account.data_account_type_revenue,L27141,Mokejimai.lt EUR,0,l10n_lt_account_chart_template
__export__.account_account_4474,account.data_account_type_revenue,L2721,KASA,0,l10n_lt_account_chart_template
__export__.account_account_4475,account.data_account_type_revenue,L2720,Kasa LTL,0,l10n_lt_account_chart_template
__export__.account_account_4476,account.data_account_type_current_assets,L273,Pinigai kelyje,0,l10n_lt_account_chart_template
__export__.account_account_4477,account.data_account_type_expenses,L279,Įšaldytos sąskaitos(-),0,l10n_lt_account_chart_template
__export__.account_account_4478,account.data_account_type_equity,L31,NUOSAVAS KAPITALAS,0,l10n_lt_account_chart_template
__export__.account_account_4479,account.data_account_type_equity,L30,KAPITALAS,0,l10n_lt_account_chart_template
__export__.account_account_4480,account.data_account_type_equity,L301,ĮSTATINIS PASIRAŠYTASIS KAPITALAS,0,l10n_lt_account_chart_template
__export__.account_account_4481,account.data_account_type_equity,L3011,Paprastosios akcijos,0,l10n_lt_account_chart_template
__export__.account_account_4482,account.data_account_type_equity,L3012,Privilegijuotosios akcijos,0,l10n_lt_account_chart_template
__export__.account_account_4483,account.data_account_type_equity,L3013,Darbuotojų akcijos,0,l10n_lt_account_chart_template
__export__.account_account_4484,account.data_account_type_expenses,L302,Pasirašytasis neapmokėtas kapitalas(-),0,l10n_lt_account_chart_template
__export__.account_account_4485,account.data_account_type_equity,L303,Akcijų priedai,0,l10n_lt_account_chart_template
